id,exclusive,maximum_options_selected,name,option_set_type,order_position,required,menu_item_id
1,false,-1,Tools,SAUCE,1,false,1
2,true,4,Automotive,SAUCE,2,true,2
3,false,-1,Clothing,EXTRA,3,true,3
4,true,4,Electronics,SIZE,4,true,4
5,true,3,Clothing,EXTRA,5,false,5
6,true,1,Automotive,SIZE,6,true,6
7,false,2,Shoes,DESSERT,7,false,7
8,false,0,Grocery,TOPPING,8,false,8
9,false,0,Music,BEVERAGE,9,false,9
10,true,1,Garden,EXTRA,10,true,10
11,false,2,Industrial,DESSERT,11,false,11
12,false,-1,Movies,TOPPING,12,true,12
13,false,4,Computers,EXTRA,13,true,13
14,true,3,Beauty,DESSERT,14,false,14
15,false,0,Computers,TOPPING,15,true,15
16,true,4,Tools,TOPPING,16,false,16
17,false,3,Computers,SAUCE,17,false,17
18,true,0,Shoes,SIZE,18,false,18
19,false,1,Outdoors,BEVERAGE,19,false,19
20,false,3,Music,BEVERAGE,20,true,20
21,false,-1,Books,TOPPING,21,true,21
22,false,2,Outdoors,EXTRA,22,true,22
23,true,1,Kids,SAUCE,23,true,23
24,true,1,Clothing,BEVERAGE,24,true,24
25,false,2,Music,EXTRA,25,false,25
26,true,-1,Home,EXTRA,26,false,26
27,false,3,Music,DESSERT,27,false,27
28,false,4,Toys,TOPPING,28,true,28
29,true,2,Health,BEVERAGE,29,true,29
30,false,-1,Books,TOPPING,30,false,30
31,true,1,Movies,TOPPING,31,false,31
32,true,0,Automotive,SIZE,32,false,32
33,false,2,Books,SIZE,33,true,33
34,false,3,Books,BEVERAGE,34,true,34
35,false,2,Games,EXTRA,35,false,35
36,false,-1,Books,BEVERAGE,36,true,36
37,true,-1,Home,DESSERT,37,false,37
38,false,2,Home,TOPPING,38,true,38
39,true,0,Baby,DESSERT,39,true,39
40,true,4,Industrial,TOPPING,40,true,40
41,false,2,Sports,SIZE,41,false,41
42,true,4,Shoes,SIZE,42,true,42
43,true,-1,Beauty,SIZE,43,false,43
44,true,1,Automotive,DESSERT,44,true,44
45,true,2,Tools,DESSERT,45,true,45
46,true,-1,Automotive,EXTRA,46,true,46
47,true,-1,Sports,SAUCE,47,false,47
48,false,2,Books,DESSERT,48,true,48
49,true,3,Clothing,DESSERT,49,false,49
50,false,4,Books,TOPPING,50,false,50
51,true,4,Sports,SIZE,51,false,51
52,true,2,Tools,TOPPING,52,false,52
53,false,4,Sports,EXTRA,53,false,53
54,false,4,Outdoors,BEVERAGE,54,true,54
55,false,3,Computers,SIZE,55,true,55
56,true,3,Health,SIZE,56,true,56
57,false,-1,Books,SIZE,57,true,57
58,true,1,Music,DESSERT,58,false,58
59,false,4,Books,TOPPING,59,true,59
60,false,-1,Electronics,TOPPING,60,false,60
61,true,2,Electronics,TOPPING,61,true,61
62,true,4,Garden,DESSERT,62,false,62
63,false,3,Outdoors,SIZE,63,true,63
64,true,-1,Toys,DESSERT,64,false,64
65,false,1,Tools,EXTRA,65,false,65
66,true,-1,Industrial,DESSERT,66,true,66
67,true,4,Automotive,SIZE,67,true,67
68,true,0,Clothing,SAUCE,68,true,68
69,true,0,Tools,EXTRA,69,false,69
70,false,1,Baby,TOPPING,70,false,70
71,true,1,Jewelry,SIZE,71,true,71
72,false,0,Beauty,EXTRA,72,true,72
73,true,2,Garden,TOPPING,73,true,73
74,true,3,Books,EXTRA,74,true,74
75,false,3,Kids,EXTRA,75,false,75
76,true,2,Home,SIZE,76,true,76
77,true,2,Movies,TOPPING,77,true,77
78,false,0,Shoes,SAUCE,78,true,78
79,false,0,Computers,SIZE,79,true,79
80,false,-1,Garden,EXTRA,80,false,80
81,false,3,Toys,SIZE,81,false,81
82,false,2,Sports,SIZE,82,false,82
83,true,0,Grocery,SIZE,83,true,83
84,false,2,Grocery,SAUCE,84,true,84
85,true,-1,Electronics,DESSERT,85,false,85
86,true,2,Music,DESSERT,86,true,86
87,true,4,Electronics,EXTRA,87,false,87
88,true,0,Electronics,TOPPING,88,true,88
89,true,0,Computers,TOPPING,89,true,89
90,false,1,Clothing,BEVERAGE,90,false,90
91,false,-1,Computers,DESSERT,91,false,91
92,true,1,Automotive,SIZE,92,true,92
93,false,3,Shoes,SAUCE,93,false,93
94,true,4,Sports,TOPPING,94,false,94
95,true,-1,Sports,SAUCE,95,true,95
96,true,-1,Grocery,SAUCE,96,true,96
97,true,4,Industrial,SAUCE,97,false,97
98,false,0,Electronics,EXTRA,98,false,98
99,false,0,Clothing,DESSERT,99,false,99
100,true,1,Movies,SAUCE,100,false,100
101,false,3,Baby,EXTRA,101,false,101
102,true,3,Toys,SIZE,102,true,102
103,true,1,Beauty,BEVERAGE,103,true,103
104,true,0,Games,TOPPING,104,false,104
105,true,-1,Beauty,SAUCE,105,false,105
106,true,-1,Shoes,DESSERT,106,false,106
107,false,0,Shoes,SAUCE,107,false,107
108,true,0,Shoes,DESSERT,108,false,108
109,false,4,Movies,DESSERT,109,false,109
110,true,-1,Home,BEVERAGE,110,false,110
111,false,1,Toys,BEVERAGE,111,true,111
112,true,0,Baby,EXTRA,112,true,112
113,false,1,Jewelry,SIZE,113,true,113
114,true,4,Computers,SIZE,114,true,114
115,false,-1,Sports,DESSERT,115,false,115
116,false,4,Beauty,SIZE,116,true,116
117,false,0,Toys,EXTRA,117,false,117
118,true,0,Sports,BEVERAGE,118,false,118
119,false,3,Computers,DESSERT,119,false,119
120,false,1,Music,EXTRA,120,true,120
121,true,-1,Clothing,DESSERT,121,true,121
122,false,4,Jewelry,BEVERAGE,122,true,122
123,true,-1,Toys,SIZE,123,false,123
124,true,4,Industrial,SAUCE,124,true,124
125,true,-1,Games,DESSERT,125,false,125
126,false,2,Baby,BEVERAGE,126,true,126
127,false,0,Music,TOPPING,127,false,127
128,false,1,Home,EXTRA,128,true,128
129,false,2,Garden,BEVERAGE,129,false,129
130,true,2,Computers,EXTRA,130,true,130
131,true,0,Books,SIZE,131,true,131
132,true,1,Kids,SIZE,132,true,132
133,true,4,Baby,SIZE,133,false,133
134,false,3,Electronics,TOPPING,134,false,134
135,false,4,Movies,TOPPING,135,true,135
136,true,2,Sports,TOPPING,136,true,136
137,false,0,Shoes,TOPPING,137,true,137
138,true,2,Industrial,SIZE,138,false,138
139,true,1,Sports,TOPPING,139,true,139
140,false,2,Health,SIZE,140,true,140
141,true,1,Tools,SAUCE,141,true,141
142,true,2,Games,SIZE,142,false,142
143,true,3,Beauty,EXTRA,143,false,143
144,false,1,Tools,TOPPING,144,false,144
145,true,3,Industrial,BEVERAGE,145,true,145
146,false,1,Jewelry,DESSERT,146,false,146
147,false,0,Clothing,BEVERAGE,147,false,147
148,false,0,Baby,BEVERAGE,148,false,148
149,false,4,Shoes,SIZE,149,true,149
150,false,-1,Shoes,SIZE,150,false,150
151,false,2,Garden,SAUCE,151,false,151
152,false,0,Beauty,TOPPING,152,false,152
153,false,3,Electronics,SIZE,153,false,153
154,true,-1,Garden,SAUCE,154,true,154
155,true,4,Toys,EXTRA,155,true,155
156,true,1,Clothing,DESSERT,156,false,156
157,true,4,Garden,EXTRA,157,true,157
158,true,2,Music,SAUCE,158,true,158
159,false,4,Electronics,DESSERT,159,true,159
160,false,1,Games,SAUCE,160,true,160
161,true,0,Shoes,EXTRA,161,true,161
162,false,1,Baby,DESSERT,162,false,162
163,false,-1,Beauty,TOPPING,163,false,163
164,true,3,Movies,SAUCE,164,true,164
165,false,4,Kids,SIZE,165,false,165
166,true,2,Computers,DESSERT,166,false,166
167,true,3,Health,DESSERT,167,true,167
168,false,3,Jewelry,DESSERT,168,false,168
169,false,2,Outdoors,TOPPING,169,true,169
170,true,2,Computers,BEVERAGE,170,true,170
171,false,1,Beauty,DESSERT,171,true,171
172,true,4,Clothing,SIZE,172,true,172
173,false,-1,Computers,SIZE,173,false,173
