option_set_id,option_id
752,458
907,791
924,45
357,519
557,543
556,567
22,822
319,978
834,809
936,661
663,150
392,461
548,812
527,371
651,175
309,227
258,247
23,241
484,365
558,417
444,955
828,933
884,881
602,9
980,183
271,30
352,445
81,290
760,90
202,577
167,170
780,411
347,546
748,736
825,115
843,685
875,462
536,68
472,132
489,379
960,31
455,613
298,764
183,677
414,218
330,27
769,108
466,228
376,174
401,518
595,360
299,756
751,263
10,420
867,676
259,187
182,438
332,127
664,569
739,299
887,813
5,534
235,891
411,793
989,509
127,347
847,288
295,120
605,584
300,105
199,689
619,627
44,916
366,449
831,700
554,904
408,885
41,316
9,893
113,85
958,10
858,587
52,453
27,919
590,311
69,726
977,249
206,782
276,723
153,136
833,559
815,339
573,781
107,466
583,897
378,488
140,851
848,604
355,188
51,80
491,823
863,346
946,399
350,551
618,271
704,597
738,332
30,292
125,62
916,755
400,553
102,213
937,95
458,508
814,980
799,44
272,968
371,601
391,355
744,158
890,455
699,575
18,878
35,802
695,688
679,698
666,24
202,670
446,864
672,290
13,467
917,92
893,646
860,784
613,133
85,946
680,379
655,941
492,11
889,239
158,51
937,743
589,118
466,383
290,408
762,491
169,576
962,58
793,898
5,435
221,796
282,412
827,288
456,483
297,627
980,189
660,376
741,434
176,369
820,237
705,158
863,482
994,827
840,636
237,730
273,653
37,487
566,819
813,831
87,469
283,95
328,403
191,395
541,745
36,226
907,985
630,197
703,726
412,584
229,99
576,894
810,449
811,323
650,960
186,426
625,344
778,656
511,809
947,921
279,790
421,778
508,768
528,914
681,868
775,608
776,240
248,130
232,797
372,218
742,485
174,858
609,727
647,370
157,236
179,942
313,671
901,194
931,818
966,105
432,613
765,300
733,493
867,682
82,128
182,176
19,699
948,468
693,140
657,388
774,794
197,524
247,718
118,720
468,761
552,600
113,371
27,201
731,320
982,481
553,20
829,501
116,401
288,690
847,976
535,557
543,969
236,956
696,556
932,256
498,314
842,731
692,311
148,736
31,405
968,86
729,244
7,639
556,618
653,494
601,227
756,168
166,224
54,901
8,4
754,241
678,877
485,289
697,825
144,720
836,663
813,13
142,785
269,116
542,916
194,935
650,270
283,849
268,560
912,93
513,900
233,954
577,449
587,968
540,398
327,212
410,832
91,632
189,672
892,816
331,970
467,654
976,179
699,620
143,845
184,861
505,507
675,333
468,526
987,7
905,445
300,317
175,506
409,738
525,864
598,484
764,795
819,409
970,627
863,199
594,400
377,551
293,122
581,884
753,365
351,923
890,311
773,375
701,479
310,14
155,236
183,276
998,344
5,67
738,304
104,306
164,571
425,959
953,974
730,135
840,872
232,690
491,202
307,101
80,186
924,518
32,799
133,875
9,780
371,523
151,125
202,73
940,392
7,118
750,249
747,572
486,397
441,999
909,668
849,331
732,79
358,437
173,117
243,134
464,798
218,225
500,290
741,128
537,941
162,961
875,360
553,986
308,215
301,339
628,378
999,702
672,539
489,368
897,453
956,550
765,826
114,35
830,281
71,775
68,401
681,222
333,805
170,227
160,287
555,711
18,908
101,102
116,242
759,847
97,264
627,443
782,766
560,467
24,496
484,233
21,722
447,892
659,166
51,129
9,828
304,366
397,796
775,938
219,597
730,344
201,333
357,96
850,43
321,159
670,751
491,661
696,826
311,249
364,571
8,646
583,174
525,952
713,881
705,20
839,319
335,551
274,165
196,209
461,694
393,40
74,143
734,499
499,332
223,535
789,770
996,167
567,244
521,988
481,483
790,507
731,960
75,842
718,539
937,234
143,130
858,861
495,414
941,392
126,72
655,15
518,935
597,90
585,216
345,288
777,644
225,937
917,776
534,252
13,111
312,893
776,256
998,298
11,268
45,806
502,394
99,626
622,150
927,721
788,977
234,348
89,534
403,967
988,736
109,97
916,290
263,897
536,188
551,849
669,601
854,553
212,954
85,327
445,152
175,163
838,989
306,132
794,44
404,572
885,611
62,123
348,495
902,705
581,783
691,443
249,211
875,95
509,227
656,220
760,577
563,381
360,65
302,701
416,435
759,284
822,399
613,512
434,714
462,563
483,178
765,375
373,139
49,71
604,335
879,927
969,970
203,652
911,894
791,533
644,61
377,19
953,118
155,162
809,437
980,562
91,800
244,443
27,79
757,4
12,548
877,294
55,49
784,663
135,358
344,55
40,465
610,13
360,883
730,781
425,100
298,662
241,393
523,280
71,28
633,965
528,717
873,186
227,909
422,742
622,825
991,369
943,262
653,444
411,183
346,519
418,417
758,206
460,17
389,555
138,263
372,956
287,505
380,596
764,969
357,792
334,994
805,366
817,169
682,682
745,706
24,910
64,644
159,333
506,426
806,754
655,824
428,290
864,979
379,176
76,201
101,388
595,352
291,985
644,810
995,117
239,200
719,365
617,638
23,814
631,466
519,612
607,929
275,342
59,716
971,563
137,966
229,788
122,845
989,709
667,936
746,761
347,286
405,1000
511,398
781,900
314,579
238,626
884,613
394,195
472,474
734,449
153,576
512,266
632,713
392,498
620,420
859,667
777,647
82,63
383,341
669,988
232,16
870,867
424,593
65,733
388,951
272,436
590,161
796,94
529,749
467,819
981,153
500,605
657,462
912,433
340,249
825,324
628,933
471,174
245,164
45,891
863,839
851,822
224,472
885,730
327,233
564,91
968,327
353,320
721,299
649,812
322,331
593,173
363,435
659,283
845,305
234,146
390,905
203,662
540,638
628,605
226,34
762,948
62,880
101,578
402,967
814,453
468,356
342,850
770,179
104,446
998,868
397,83
260,212
863,515
749,520
795,81
527,166
304,201
555,46
272,736
502,135
339,651
37,96
893,439
314,720
915,405
867,679
655,602
316,939
713,889
744,864
89,195
466,28
456,830
575,101
132,533
677,117
358,570
949,987
639,75
352,422
380,270
796,349
354,414
878,949
523,332
178,223
613,897
784,634
249,766
231,962
346,829
225,545
370,763
887,493
989,654
967,691
300,977
928,293
271,848
374,613
632,460
859,402
485,561
644,99
898,618
436,726
902,14
939,653
382,377
533,409
19,261
455,998
514,120
348,401
647,167
278,3
933,521
563,17
710,582
728,548
367,13
734,824
537,176
959,116
343,140
732,380
94,706
70,700
418,927
890,663
788,670
274,593
351,741
120,860
154,589
266,59
447,586
335,290
760,723
332,913
276,832
676,923
776,689
764,657
518,603
870,311
610,745
190,751
973,815
22,641
360,613
261,936
219,100
910,129
24,506
482,960
658,69
679,76
728,968
390,118
481,520
747,278
443,418
153,450
833,821
187,590
490,668
426,914
259,676
62,730
171,379
846,889
984,56
894,813
809,768
673,220
409,289
754,950
281,689
45,477
15,711
434,119
653,927
818,246
964,794
869,288
216,619
264,871
327,880
412,626
376,291
578,746
726,691
280,65
388,783
120,84
234,610
830,227
190,966
312,521
367,398
400,270
112,907
213,489
641,603
105,411
263,493
949,994
504,303
542,992
960,938
16,265
550,872
12,789
917,884
489,44
729,156
636,781
2,723
899,262
287,103
418,745
660,657
526,654
117,997
114,955
694,597
271,468
343,269
580,716
232,951
331,255
384,49
350,834
449,9
503,867
854,942
507,807
351,83
613,645
875,105
791,58
937,159
708,530
361,594
461,974
191,12
458,408
19,699
341,21
260,283
290,607
878,509
313,115
143,577
647,150
439,830
301,817
686,606
906,965
741,593
933,637
973,87
399,338
417,147
543,461
896,673
983,311
86,592
814,30
826,569
643,322
790,179
161,478
319,205
735,879
151,109
967,889
894,688
78,800
53,639
463,8
714,248
712,461
991,590
72,375
302,991
233,568
415,81
52,716
617,652
740,765
479,598
817,489
183,349
231,827
582,56
407,278
662,189
769,896
77,116
8,58
394,537
577,578
688,251
158,564
956,167
533,805
562,812
475,847
681,660
610,480
133,366
656,272
108,39
443,697
57,724
813,515
638,244
340,575
447,994
405,70
706,890
229,970
256,29
248,648
296,600
468,869
918,529
455,768
423,617
168,713
645,548
425,825
371,268
993,340
650,524
880,120
969,350
42,661
622,625
857,113
778,687
216,13
316,603
581,174
718,912
807,77
462,785
795,486
627,900
649,217
48,471
553,410
199,748
828,313
901,743
474,501
87,198
448,841
980,231
626,528
131,151
355,460
644,388
915,870
784,655
682,721
485,674
642,948
620,595
23,104
690,817
427,309
413,294
402,330
892,41
45,326
521,781
481,215
123,342
869,161
335,485
678,422
498,703
430,264
135,676
109,186
801,271
429,540
909,919
5,237
170,816
679,541
65,574
205,980
852,821
741,163
955,561
418,850
