id,name,price
1,Spinach - Packaged,4.7
2,Orange - Tangerine,4.0
3,Huck Towels White,2.2
4,Salmon Steak - Cohoe 8 Oz,2.4
5,Flower - Leather Leaf Fern,2.5
6,Sun - Dried Tomatoes,2.8
7,"Pork - Loin, Bone - In",4.4
8,Rice - Aborio,2.5
9,Sausage - Breakfast,0.7
10,Wine - Carmenere Casillero Del,3.4
11,"Turkey - Breast, Double",2.1
12,Water - Green Tea Refresher,4.4
13,Wine - Chablis 2003 Champs,4.7
14,Syrup - Chocolate,2.6
15,Flower - Leather Leaf Fern,3.6
16,Chocolate Liqueur - Godet White,0.8
17,"Beer - Alexander Kieths, Pale Ale",2.0
18,Watercress,3.2
19,Paper Towel Touchless,2.5
20,Bowl 12 Oz - Showcase 92012,1.2
21,Dried Figs,1.8
22,Table Cloth 90x90 White,3.4
23,Cheese Cloth,5.0
24,Beer - Fruli,3.3
25,Bread - Pain Au Liat X12,4.2
26,Beef - Ox Tongue,1.6
27,Bread - Crusty Italian Poly,2.2
28,Beer - True North Strong Ale,2.7
29,"Squash - Pattypan, Yellow",2.0
30,Snails - Large Canned,3.5
31,Vanilla Beans,2.2
32,Fruit Mix - Light,4.7
33,"Juice - Tomato, 10 Oz",3.1
34,Flavouring Vanilla Artificial,0.6
35,Cinnamon Rolls,2.2
36,Red Currant Jelly,0.5
37,Foil - Round Foil,1.8
38,Beef - Eye Of Round,2.2
39,Spinach - Baby,2.6
40,Flower - Commercial Spider,5.0
41,Coffee - Frthy Coffee Crisp,4.1
42,Wine - Pinot Grigio Collavini,2.0
43,The Pop Shoppe - Black Cherry,0.7
44,Wine - Remy Pannier Rose,1.6
45,Rice Paper,2.4
46,Muffin - Bran Ind Wrpd,4.0
47,Sauce - Marinara,1.6
48,Sprouts - Corn,2.3
49,Pork - Backs - Boneless,4.3
50,Energy Drink - Redbull 355ml,1.0
51,"Tea - Darjeeling, Azzura",4.6
52,Veal - Bones,4.1
53,Poppy Seed,1.1
