id,addition,apartment_number,city,country,lat,lon,post_code,street,average_delivery_time,delivery_cost,minimum_order_value,name,owner_id,phone,rating,thumbnail_image_id,full_image_id
1,Lane,,Hengelo,NL,46.2893452,28.6519897,MD-5354,31 Laurel Parkway,22,1.2,0,Pixoboo,00u262s3jn87lHv5b5d7,+373 (209) 791-5649,1.0,,
2,Crossing,,Hengelo,NL,40.4387139,-8.7142851,3070-385,48 Warbler Trail,31,1.6,6,Wordware,00u262s3jn87lHv5b5d7,+351 (237) 939-3713,2.2,,
3,Alley,,Hengelo,NL,7.8570335,36.5823944,,57368 Farwell Circle,43,0.2,12,DabZ,00u262s3jn87lHv5b5d7,+251 (764) 748-1506,4.9,,
4,Way,,Hengelo,NL,14.6507289,-90.5128018,02015,6946 Milwaukee Alley,43,1.0,2,Rhyloo,00u262s3jn87lHv5b5d7,+502 (566) 551-7557,1.2,,
5,Circle,,Hengelo,NL,56.9713872,61.4210476,624269,8 Lindbergh Trail,31,1.0,7,Brainlounge,00u262s3jn87lHv5b5d7,+7 (110) 658-6399,1.4,,
6,Alley,,Hengelo,NL,-32.5906095,27.8838873,4950,93991 Swallow Plaza,27,0.8,4,Gigazoom,00u262s3jn87lHv5b5d7,+27 (549) 365-2199,3.7,,
7,Alley,,Hengelo,NL,44.1675867,2.0308233,59007 CEDEX,54 Stang Plaza,32,0.2,5,Aimbu,00u262s3jn87lHv5b5d7,+33 (656) 307-8150,1.6,,
8,Junction,,Hengelo,NL,51.626324,39.4129061,396310,0 New Castle Drive,41,1.0,0,Photojam,00u262s3jn87lHv5b5d7,+7 (932) 624-0069,4.8,,
9,Trail,,Hengelo,NL,25.5784559,51.4821387,,893 Basil Point,30,3.1,2,Podcat,00u262s3jn87lHv5b5d7,+974 (614) 746-7320,1.1,,
10,Way,,Hengelo,NL,26.560231,100.176498,,87104 Hoepker Parkway,24,1.9,2,Trudeo,00u262s3jn87lHv5b5d7,+86 (688) 131-0902,2.5,,
11,Plaza,,Hengelo,NL,-6.5413435,-80.0129679,,6537 Hoffman Avenue,40,3.0,8,Photobug,00u262s3jn87lHv5b5d7,+51 (497) 530-7857,1.1,,
12,Pass,,Hengelo,NL,36.4406171,119.2131226,,9 Miller Trail,34,2.2,8,Demivee,00u262s3jn87lHv5b5d7,+86 (877) 670-5243,1.3,,
13,Avenue,,Hengelo,NL,37.07833,115.94139,,6 Oak Valley Way,15,0.7,5,Skippad,00u262s3jn87lHv5b5d7,+86 (768) 912-7245,1.5,,
14,Crossing,,Hengelo,NL,32.990664,112.528308,,0784 Commercial Alley,24,0.9,5,Livepath,00u262s3jn87lHv5b5d7,+86 (616) 276-7882,4.4,,
15,Pass,,Hengelo,NL,29.3365728,47.6755291,,6 Miller Way,20,1.1,12,Skiba,00u262s3jn87lHv5b5d7,+965 (111) 871-3554,2.1,,
16,Point,,Hengelo,NL,40.2343129,44.2868976,,0 Becker Court,31,1.9,6,Avamm,00u262s3jn87lHv5b5d7,+374 (289) 104-6795,4.3,,
17,Park,,Hengelo,NL,46.6473105,0.813275,20195 CEDEX 1,9 Dwight Court,24,3.1,8,Voonix,00u262s3jn87lHv5b5d7,+33 (429) 360-4822,1.5,,
18,Avenue,,Hengelo,NL,49.1077868,34.7299619,,92 Crest Line Pass,19,3.3,5,Yozio,00u262s3jn87lHv5b5d7,+380 (226) 583-5734,3.3,,
19,Pass,,Hengelo,NL,-8.0934,112.463,,2 Summer Ridge Park,26,3.3,10,Twitterbridge,00u262s3jn87lHv5b5d7,+62 (595) 883-7128,1.4,,
20,Point,,Hengelo,NL,34.909793,108.980102,,93 Sutteridge Park,20,3.4,10,Gabvine,00u262s3jn87lHv5b5d7,+86 (683) 183-4482,2.0,,
21,Alley,,Hengelo,NL,6,120.9666672,1053,18447 Transport Place,20,0.9,0,Yacero,00u262s3jn87lHv5b5d7,+63 (980) 923-6522,3.0,,
22,Parkway,,Hengelo,NL,-6.7519382,-38.2314566,58800-000,39228 Express Pass,23,0.8,9,Rooxo,00u262s3jn87lHv5b5d7,+55 (722) 814-3070,2.7,,
23,Circle,,Hengelo,NL,21.941555,111.426122,,2 Oneill Parkway,44,2.8,10,Divanoodle,00u262s3jn87lHv5b5d7,+86 (816) 566-4119,3.3,,
24,Park,,Hengelo,NL,55.7756358,37.8348162,646914,86173 Burning Wood Street,29,1.7,3,Voonix,00u262s3jn87lHv5b5d7,+7 (390) 227-8136,2.5,,
25,Hill,,Hengelo,NL,53.2169534,45.1560169,442965,5009 Corry Way,15,1.0,0,Quimba,00u262s3jn87lHv5b5d7,+7 (431) 181-1161,4.3,,
26,Pass,,Hengelo,NL,48.043204,38.1393965,,006 Quincy Avenue,26,1.3,8,Skinix,00u262s3jn87lHv5b5d7,+380 (432) 465-6353,1.5,,
27,Drive,,Hengelo,NL,-20.6984299,-44.8256777,35540-000,761 Ryan Center,16,1.3,6,Podcat,00u262s3jn87lHv5b5d7,+55 (391) 653-5450,4.9,,
28,Point,,Hengelo,NL,-25.9731585,28.2124013,4147,5861 Hovde Road,39,1.6,3,Babblestorm,00u262s3jn87lHv5b5d7,+27 (487) 261-5042,2.1,,
29,Terrace,,Hengelo,NL,-6.1920539,106.8240327,,3 Brentwood Circle,45,2.3,3,Minyx,00u262s3jn87lHv5b5d7,+62 (531) 465-2289,1.4,,
30,Park,,Hengelo,NL,-20.3345205,-47.7921348,14500-000,7 Steensland Point,22,1.5,5,Divape,00u262s3jn87lHv5b5d7,+55 (384) 434-4659,4.2,,
31,Crossing,,Hengelo,NL,61.3377349,16.0344869,828 25,52040 Mccormick Hill,20,2.4,5,Tazz,00u262s3jn87lHv5b5d7,+46 (892) 210-0231,3.5,,
32,Drive,,Hengelo,NL,2.7724038,32.2880726,,9 Donald Junction,22,3.5,10,Eamia,00u262s3jn87lHv5b5d7,+256 (927) 670-4741,3.3,,
33,Drive,,Hengelo,NL,12.3531546,99.9409196,77120,763 Daystar Hill,41,0.2,10,Avamba,00u262s3jn87lHv5b5d7,+66 (623) 684-0384,4.4,,
34,Parkway,,Hengelo,NL,-9.8492904,119.7371425,,2557 Merchant Parkway,21,2.9,3,Dabshots,00u262s3jn87lHv5b5d7,+62 (764) 464-9012,2.2,,
35,Lane,,Hengelo,NL,-13.2830688,-176.1783832,98600,0294 Kim Parkway,39,1.1,6,Linklinks,00u262s3jn87lHv5b5d7,+681 (770) 850-2933,2.5,,
36,Point,,Hengelo,NL,30.335237,112.239631,,2 Susan Drive,40,2.8,6,Rhybox,00u262s3jn87lHv5b5d7,+86 (644) 330-0129,1.7,,
37,Plaza,,Hengelo,NL,37.9746194,23.6412944,,71877 Mariners Cove Street,30,3.1,8,Feedfire,00u262s3jn87lHv5b5d7,+30 (920) 411-1890,1.2,,
38,Court,,Hengelo,NL,-7.3897541,108.8640607,,176 Dapin Way,45,2.3,1,Quinu,00u262s3jn87lHv5b5d7,+62 (846) 400-2326,1.8,,
39,Avenue,,Hengelo,NL,-12.0443399,-77.0309888,,4704 Grim Court,29,2.3,2,Tagtune,00u262s3jn87lHv5b5d7,+51 (367) 226-7899,1.4,,
40,Avenue,,Hengelo,NL,38.5703228,-7.9325424,7000-062,330 Northland Drive,25,1.6,2,Livetube,00u262s3jn87lHv5b5d7,+351 (449) 634-1166,3.6,,
41,Lane,,Hengelo,NL,28.563927,108.50387,,27759 Darwin Pass,20,1.3,3,Twitterlist,00u262s3jn87lHv5b5d7,+86 (405) 384-1814,3.3,,
42,Park,,Hengelo,NL,9.96752,-84.001624,10805,31627 Charing Cross Court,34,1.6,9,Rhycero,00u262s3jn87lHv5b5d7,+506 (203) 455-6304,1.7,,
43,Center,,Hengelo,NL,34.4729886,-5.295876,,19 Quincy Court,16,2.0,9,Edgeify,00u262s3jn87lHv5b5d7,+212 (979) 220-0835,3.0,,
44,Trail,,Hengelo,NL,-6.7061169,111.4320603,,866 Tony Street,24,2.3,7,Oodoo,00u262s3jn87lHv5b5d7,+62 (560) 298-2051,4.8,,
